timestamp ba_x ba_y ba_z bg_x bg_y bg_z
1758876649.752679 -0.00933794 -0.24104749 -0.04556774 -0.00042395 0.00005971 -0.00013196
1758876649.819353 -0.00596635 -0.23559817 -0.04589447 -0.00043548 0.00008275 -0.00014082
1758876649.886027 -0.00203139 -0.24001127 -0.04525667 -0.00044649 0.00008605 -0.00013924
1758876649.952702 0.01047348 -0.23599032 -0.04493781 -0.00044488 0.00006806 -0.00012819
1758876650.019377 0.01439044 -0.23638512 -0.04467580 -0.00045129 0.00007790 -0.00012500
1758876650.086050 0.01437876 -0.23578142 -0.04472548 -0.00044905 0.00009294 -0.00012740
1758876650.152725 0.01349127 -0.23576002 -0.04477565 -0.00043978 0.00010239 -0.00013032
1758876650.219400 0.01210855 -0.23706859 -0.04472893 -0.00043186 0.00011297 -0.00013278
1758876650.286074 0.01081412 -0.24106163 -0.04442896 -0.00043804 0.00012219 -0.00014005
1758876650.352749 0.01018197 -0.24533695 -0.04405998 -0.00043850 0.00012375 -0.00014685
1758876650.419423 0.01147522 -0.24218315 -0.04428355 -0.00042678 0.00013222 -0.00014657
1758876650.486097 0.01133684 -0.24486684 -0.04403372 -0.00042496 0.00013484 -0.00014172
1758876650.552769 0.01033556 -0.24208812 -0.04436218 -0.00042803 0.00014911 -0.00013522
1758876650.619443 0.01013710 -0.25582872 -0.04306100 -0.00041239 0.00012528 -0.00012973
1758876650.686117 0.01115067 -0.26097896 -0.04248829 -0.00039176 0.00011204 -0.00011566
1758876650.752790 0.01101250 -0.26180057 -0.04241220 -0.00040256 0.00011589 -0.00011316
1758876650.819464 0.01201685 -0.26643997 -0.04190090 -0.00040689 0.00010073 -0.00010761
1758876650.886137 0.01052460 -0.26268978 -0.04234333 -0.00040834 0.00010361 -0.00010590
1758876650.952814 0.01094927 -0.25602626 -0.04294028 -0.00041237 0.00012667 -0.00010994
1758876651.019491 0.01069780 -0.25512933 -0.04303978 -0.00041215 0.00013141 -0.00011296
1758876651.086169 0.01084060 -0.25526740 -0.04300693 -0.00039887 0.00012323 -0.00011731
1758876651.152846 0.01087728 -0.25149277 -0.04336837 -0.00039785 0.00013033 -0.00011963
1758876651.219523 0.01081705 -0.25198673 -0.04332081 -0.00039909 0.00013682 -0.00011669
1758876651.286201 0.01179315 -0.24865594 -0.04358387 -0.00039066 0.00014238 -0.00012043
1758876651.352877 0.01146508 -0.24766988 -0.04369837 -0.00039415 0.00015407 -0.00012650
1758876651.419554 0.00970958 -0.25158581 -0.04340547 -0.00039622 0.00015122 -0.00011672
1758876651.486231 0.01013400 -0.24747063 -0.04377472 -0.00038962 0.00014987 -0.00011044
1758876651.552907 0.00942555 -0.24764279 -0.04378934 -0.00038629 0.00015395 -0.00010793
1758876651.619585 0.01449199 -0.23472574 -0.04475838 -0.00039394 0.00018755 -0.00011581
1758876651.686261 0.01080589 -0.24217272 -0.04421784 -0.00039544 0.00021987 -0.00012182
1758876651.752938 0.00566422 -0.25912109 -0.04281323 -0.00035988 0.00017729 -0.00010429
1758876651.819614 -0.00475628 -0.27307351 -0.04200211 -0.00034679 0.00016408 -0.00008800
1758876651.886290 -0.00513374 -0.26504300 -0.04284730 -0.00037706 0.00020353 -0.00010148
1758876651.952968 -0.00133336 -0.25445324 -0.04365812 -0.00039315 0.00023144 -0.00011198
1758876652.019646 -0.00157432 -0.25271422 -0.04383728 -0.00040762 0.00024808 -0.00011386
1758876652.086324 -0.00180416 -0.25348521 -0.04376389 -0.00040249 0.00025059 -0.00011152
1758876652.153002 -0.00279682 -0.25514381 -0.04365753 -0.00039859 0.00025135 -0.00011575
1758876652.219679 -0.00309102 -0.25763512 -0.04342684 -0.00040104 0.00025031 -0.00011456
1758876652.286356 -0.00260725 -0.25476432 -0.04367252 -0.00039257 0.00026304 -0.00011032
1758876652.353034 -0.00334644 -0.25859299 -0.04333334 -0.00037894 0.00026971 -0.00010677
1758876652.419711 -0.00482487 -0.25904817 -0.04336975 -0.00035941 0.00027412 -0.00010407
1758876652.486388 -0.00500192 -0.26270518 -0.04301936 -0.00036170 0.00027410 -0.00010143
1758876652.553066 -0.00505553 -0.26337519 -0.04296038 -0.00037071 0.00026715 -0.00009529
1758876652.619743 -0.00541839 -0.26108939 -0.04320365 -0.00036489 0.00027803 -0.00009188
1758876652.686420 -0.00488004 -0.26331879 -0.04295374 -0.00036748 0.00028696 -0.00008897
1758876652.753096 -0.00488767 -0.26635077 -0.04266285 -0.00036624 0.00027327 -0.00008562
1758876652.819773 -0.00502070 -0.26149725 -0.04314520 -0.00036134 0.00027514 -0.00008134
1758876652.886450 -0.00459629 -0.26677704 -0.04258736 -0.00035120 0.00026772 -0.00007543
1758876652.953129 -0.00466039 -0.26111437 -0.04315802 -0.00035454 0.00027933 -0.00007244
1758876653.019807 -0.00539019 -0.27263545 -0.04207796 -0.00034395 0.00025824 -0.00006353
1758876653.086485 -0.00574254 -0.26414010 -0.04292567 -0.00032426 0.00025005 -0.00006322
1758876653.153163 -0.00527346 -0.26744685 -0.04257335 -0.00032478 0.00025948 -0.00006801
1758876653.219841 -0.00199628 -0.25764092 -0.04333131 -0.00033427 0.00028282 -0.00006749
1758876653.286519 -0.00336523 -0.26544875 -0.04265666 -0.00033876 0.00029378 -0.00006671
1758876653.353196 0.00019509 -0.25411032 -0.04355087 -0.00034914 0.00032038 -0.00007157
1758876653.419874 -0.00260568 -0.26406186 -0.04275114 -0.00034834 0.00033913 -0.00007043
1758876653.486552 -0.00434884 -0.26468438 -0.04279701 -0.00033774 0.00034059 -0.00006932
1758876653.553230 -0.00662586 -0.26977360 -0.04243238 -0.00032516 0.00033158 -0.00006324
1758876653.619906 -0.00685502 -0.26785635 -0.04262841 -0.00030796 0.00032393 -0.00005033
1758876653.686584 -0.00813196 -0.27191675 -0.04230333 -0.00029221 0.00031081 -0.00004181
1758876653.753261 -0.00694119 -0.26760949 -0.04265580 -0.00028357 0.00030619 -0.00004409
1758876653.819938 -0.00897864 -0.27551878 -0.04200811 -0.00028731 0.00029117 -0.00004469
1758876653.886615 -0.00731883 -0.26872155 -0.04256841 -0.00025536 0.00027624 -0.00004925
1758876653.953295 0.01037108 -0.23732797 -0.04453433 -0.00025686 0.00032348 -0.00006287
1758876654.019976 0.01249250 -0.22870442 -0.04516399 -0.00024106 0.00036381 -0.00005871
1758876654.086655 0.02030861 -0.21598466 -0.04593869 -0.00026619 0.00037291 -0.00005443
1758876654.153335 0.01815638 -0.22374660 -0.04530331 -0.00026443 0.00037666 -0.00004903
1758876654.220015 0.01766785 -0.22430259 -0.04527586 -0.00026744 0.00038566 -0.00004726
1758876654.286695 0.01273607 -0.23466006 -0.04455463 -0.00027035 0.00038084 -0.00004143
1758876654.353375 0.01012694 -0.23836647 -0.04434103 -0.00025201 0.00037029 -0.00003477
1758876654.420055 0.00647488 -0.24657037 -0.04375654 -0.00023027 0.00035092 -0.00003196
1758876654.486735 0.00557956 -0.24740535 -0.04372522 -0.00022025 0.00033544 -0.00002553
1758876654.553414 0.00227718 -0.25441770 -0.04322814 -0.00020225 0.00031675 -0.00001610
1758876654.620094 0.00205937 -0.25481271 -0.04320235 -0.00018903 0.00029833 -0.00001015
1758876654.686774 0.00657395 -0.24679024 -0.04371280 -0.00018239 0.00031066 -0.00001694
1758876654.753454 0.00776728 -0.24594251 -0.04371456 -0.00018452 0.00033642 -0.00002550
1758876654.820134 0.00012642 -0.25381409 -0.04334251 -0.00018214 0.00035094 0.00000866
1758876654.886814 -0.00866512 -0.25993493 -0.04321866 -0.00016811 0.00036776 0.00008668
1758876654.953516 -0.03332713 -0.28715951 -0.04195317 -0.00014818 0.00037214 0.00018201
1758876655.020221 -0.15645467 -0.42133197 -0.03553338 -0.00011446 0.00037136 0.00028525
1758876655.086925 -0.23865384 -0.51325514 -0.03041850 -0.00005864 0.00037564 0.00037142
1758876655.153631 -0.28326074 -0.55054687 -0.02850776 0.00001081 0.00039967 0.00044064
1758876655.220336 -0.26319485 -0.48369625 -0.03296503 0.00003345 0.00039732 0.00050469
1758876655.287043 -0.18427177 -0.36975753 -0.03940546 0.00007145 0.00037301 0.00054785
1758876655.353750 -0.05973269 -0.24567584 -0.04481378 0.00010135 0.00032997 0.00057176
1758876655.420457 0.07129925 -0.13648394 -0.04846294 0.00013545 0.00030255 0.00056467
1758876655.487165 0.17551224 -0.06914909 -0.04987501 0.00018551 0.00029013 0.00052159
1758876655.553874 0.23923351 -0.02289340 -0.05102684 0.00024476 0.00027893 0.00049227
1758876655.620583 0.26000099 -0.01262587 -0.05094908 0.00025391 0.00028619 0.00048021
1758876655.687293 0.25927911 -0.00507965 -0.05117266 0.00025707 0.00028366 0.00045810
1758876655.754004 0.23743525 0.01709457 -0.05285335 0.00029264 0.00025922 0.00040901
1758876655.820715 0.20564289 0.03727695 -0.05477073 0.00030552 0.00023954 0.00037979
1758876655.887425 0.17396721 0.05746901 -0.05680150 0.00031336 0.00021783 0.00035103
1758876655.954151 0.15521765 0.06979703 -0.05793526 0.00032763 0.00023093 0.00033605
1758876656.020877 0.13738968 0.07926192 -0.05878102 0.00032494 0.00025160 0.00030654
1758876656.087604 0.12240792 0.08475147 -0.05929464 0.00030381 0.00027354 0.00030548
1758876656.154331 0.10833952 0.08933684 -0.05962906 0.00027702 0.00027599 0.00026632
1758876656.221058 0.09757868 0.09046060 -0.05968970 0.00024646 0.00026690 0.00024530
1758876656.287786 0.08684218 0.08980540 -0.05969785 0.00020164 0.00024515 0.00023206
1758876656.354514 0.08311017 0.08893818 -0.05951727 0.00016799 0.00023779 0.00022558
1758876656.421244 0.07880332 0.09053430 -0.05960049 0.00012007 0.00023059 0.00019181
1758876656.487974 0.07594827 0.09194916 -0.05949007 0.00008689 0.00021882 0.00015849
1758876656.554704 0.07442683 0.09099121 -0.05925090 0.00005107 0.00020393 0.00011695
1758876656.621435 0.07364110 0.08829249 -0.05891781 0.00001965 0.00018407 0.00007746
1758876656.688167 0.07332949 0.08698603 -0.05880489 -0.00001116 0.00016583 0.00004040
1758876656.754898 0.07326532 0.08504025 -0.05866689 -0.00002727 0.00015151 0.00001401
1758876656.821630 0.07299812 0.08197669 -0.05844785 -0.00004850 0.00013793 -0.00000892
1758876656.888363 0.07194557 0.07725644 -0.05806721 -0.00006547 0.00011541 -0.00003183
